MID,AID
337,2231
338,227
338,809
338,1390
338,2232
339,99
339,810
339,1391
339,1047
340,228
340,811
340,1392
340,2233
341,71
341,604
341,1077
341,2221
342,156
342,812
342,701
342,777
343,200
343,813
343,1393
343,249
344,229
344,814
344,1394
344,2234
345,230
345,815
345,1335
345,2235
346,177
346,816
346,1395
346,2236
347,231
347,817
347,805
347,670
348,50
348,679
348,648
348,10
349,196
349,798
349,1396
349,2237
350,167
350,818
350,1397
350,2238
351,232
351,819
351,1398
351,2239
352,10
352,820
352,648
352,545
353,233
353,821
353,1164
353,2240
354,128
354,822
354,653
354,1020
355,99
355,810
355,575
355,233
356,234
356,823
356,904
356,692
357,235
357,824
357,1399
357,2241
358,11
358,659
358,1400
358,2242
359,191
359,602
359,991
359,211
360,236
360,818
360,1244
360,2243
361,237
361,825
361,1401
361,2244
362,238
362,826
362,1402
362,2245
363,44
363,572
363,607
363,834
364,128
364,531
364,1095
364,425
365,162
365,827
365,1403
365,1523
366,18
366,828
366,1404
366,2246
367,81
367,533
367,1405
367,2247
368,239
368,829
368,1406
368,2248
369,17
369,531
369,1407
369,1034
370,240
370,830
370,1408
370,2249
371,241
371,831
371,1409
371,2250
372,242
372,832
372,1276
372,1482
373,243
373,674
373,1410
373,1018
374,173
374,801
374,763
374,2251
375,104
375,833
375,1411
375,730
376,244
376,659
376,618
376,1190
377,41
377,834
377,1412
377,860
378,245
378,835
378,752
378,2252
379,246
379,836
379,635
379,2253
380,247
380,837
380,1056
380,2254
381,248
381,838
381,1413
381,2255
382,131
382,818
382,1414
382,491
383,89
383,839
383,1415
383,2256
384,54
384,840
384,1416
384,1677
385,1
385,841
385,1089
385,754
386,249
386,842
386,1417
386,1756
387,228
387,843
387,589
387,2257
388,78
388,687
388,816
388,2258
389,74
389,844
389,1418
389,2259
390,250
390,845
390,1217
390,2260
391,251
391,846
391,1419
391,2261
392,252
392,847
392,1420
392,573
393,28
393,848
393,991
393,1322
394,253
394,849
394,1421
394,2262
395,228
395,843
395,1422
395,939
396,105
396,850
396,1423
396,2263
397,254
397,851
397,718
397,1637
398,255
398,852
398,1424
398,596
399,122
399,853
399,1425
399,1758
400,200
400,854
400,632
400,4
401,256
401,855
401,694
401,2264
402,257
402,856
402,1426
402,2265
403,61
403,857
403,1427
403,2266
404,121
404,858
404,1428
404,2267
405,258
405,589
405,913
405,2268
406,259
406,859
406,850
406,2269
407,42
407,860
407,534
407,570
408,260
408,861
408,1429
408,1070
409,10
409,661
409,1164
409,1095
410,261
410,862
410,1430
410,2270
411,262
411,863
411,1431
411,2271
412,22
412,786
412,1189
412,2272
413,263
413,864
413,1432
413,1039
414,264
414,865
414,1433
414,2273
415,265
415,866
415,542
415,2274
416,266
416,867
416,1434
416,2275
417,267
417,868
417,1217
417,2276
418,268
418,801
418,1435
418,180
419,92
419,631
419,1269
419,1244
420,28
420,649
420,1299
420,2277
421,180
421,687
421,1085
421,2278
422,269
422,869
422,1436
422,2279
423,142
423,870
423,1437
423,2280
424,270
424,672
424,630
424,2281
425,91
425,582
425,763
425,2282
426,64
426,687
426,1376
426,2283
427,271
427,866
427,663
427,600
428,6
428,545
428,1035
428,2284
429,272
429,871
429,1438
429,2285
430,273
430,872
430,1439
430,2286
431,95
431,873
431,1440
431,2287
432,137
432,874
432,569
432,841
433,64
433,875
433,1441
433,1299
434,126
434,544
434,1281
434,609
435,274
435,876
435,1442
435,2288
436,3
436,791
436,1443
436,803
437,275
437,681
437,1416
437,1437
438,276
438,877
438,1444
438,2289
439,166
439,878
439,1445
439,1267
440,277
440,879
440,1446
440,2290
441,191
441,546
441,724
441,751
442,180
442,880
442,626
442,2291
443,108
443,881
443,1447
443,2292
444,7
444,546
444,1448
444,2293
445,278
445,882
445,1406
445,2294
446,279
446,883
446,1449
446,2295
447,280
447,884
447,630
447,2296
448,281
448,885
448,1450
448,1223
449,282
449,886
449,1451
449,2297
450,216
450,823
450,1452
450,2298
451,67
451,887
451,704
451,2196
452,131
452,888
452,1453
452,2299
453,283
453,622
453,1454
453,2300
454,91
454,582
454,763
454,2282
455,284
455,889
455,1455
455,774
456,285
456,890
456,1456
456,2301
457,256
457,674
457,1401
457,2302
458,237
458,700
458,1154
458,2303
459,228
459,722
459,746
459,392
460,69
460,848
460,1457
460,2304
461,55
461,891
461,855
461,544
462,286
462,892
462,1458
462,2305
463,287
463,797
463,1459
463,1053
464,288
464,893
464,1460
464,2306
465,289
465,894
465,1461
465,2307
466,67
466,766
466,1249
466,818
467,173
467,758
467,562
467,2308
468,131
468,895
468,1137
468,2309
469,124
469,896
469,1462
469,2310
470,237
470,897
470,1463
470,963
471,34
471,738
471,562
471,162
472,290
472,898
472,1464
472,821
473,291
